carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,ice,lce,plateau_capacity_mAh_g,carbonization_time_h,heating_rate_C_min,pore_volume_cm3_g,lc_nm,la_nm,record_id,doi,material_name,category,electrolyte_text,reversible_capacity_mAh_g,mapping_method,mapping_found
1100.0,0.372,1.24,3.88,0,15.0,0.6729,0.7213307956499344,125.0,3.0,2.0,,,,,Constructing Abundant Oxygen-Containing Functional Groups in Hard Carbon Derived from Anthracite for High-Performance Sodium-Ion Batteries,A-HC1100,酯类,"1.0 mol L-1 NaClO4 in ethylene carbonate (EC) and dimethyl carbonate (DEC), with 1:1 and 5 vol% fluoroethylene carbonate",305.0,primary_exact,True
700.0,0.381,3.38,1.08,1,30.0,0.5334,0.1337992521605842,37.6,3.0,5.0,0.006,,,112.0,Cow leather-derived N/O codoped hard carbon as a high-performance anode material for sodium-ion batteries,HC700,醚类,1 M NaPF6 in diglyme,170.4,primary_exact,True
1100.0,0.374,2.66,1.87,1,30.0,0.7913,1.3327793485319923,97.0,3.0,5.0,0.006,,,,Cow leather-derived N/O codoped hard carbon as a high-performance anode material for sodium-ion batteries,HC1100,醚类,1 M NaPF6 in diglyme,217.0,primary_exact,True
1500.0,0.358,1.63,4.49,1,30.0,0.7907,1.329149999624927,118.3,3.0,5.0,0.01,,,,Cow leather-derived N/O codoped hard carbon as a high-performance anode material for sodium-ion batteries,HC1500,醚类,1 M NaPF6 in diglyme,206.2,primary_exact,True
1200.0,0.385,2.27,4.71,0,30.0,0.816,1.489478597355121,186.2,,5.0,0.057,,,,Design advanced nitrogen/oxygen co-doped hard carbon microspheres from phenolic resin with boosted Na-storage performance,N/O-HC-1200,酯类,"1.0 M NaClO4 in ethyl carbonate and diethyl carbonate (EC + DEC, 1:1 by volume) with 5% fluoroethylene carbonate (FEC)",319.7,primary_exact,True
1200.0,0.399,1.15,17.84,0,50.0,0.647,0.6058782375676038,157.88,2.0,5.0,0.01437,,,151.0,Engineering homotype heterojunctions in hard carbon to induce stable solid electrolyte interfaces for sodium-ion batteries,HC,酯类,"1 M NaPF6 in a mixture of ethylene carbonate (EC) and diethyl carbonate (DEC) (1:1, volume ratio)",306.4,primary_exact,True
1200.0,0.393,1.05,6.9148,0,50.0,0.8109999999999999,1.45652103905577,189.73,2.0,5.0,0.00986,,,,Engineering homotype heterojunctions in hard carbon to induce stable solid electrolyte interfaces for sodium-ion batteries,HC-Al2O3-5%,酯类,"1 M NaPF6 in a mixture of ethylene carbonate (EC) and diethyl carbonate (DEC) (1:1, volume ratio)",334.9,primary_exact,True
800.0,0.39,2.11,468.0,1,100.0,0.471,-0.1161303378418814,0.0,2.0,,0.162,1.21,,157.0,Engineering Ultrathin Carbon Layer on Porous Hard Carbon Boosts Sodium Storage with High Initial Coulombic Efficiency,PCS,醚类,1 M NaPF6 in diethylene glycol dimethyl ether (DEGDME),155.3,primary_exact,True
600.0,0.42,1.55,21.15,0,100.0,0.507,0.0280018295484931,0.0,2.0,5.0,,,,,"Enhancing High-Capacity and High-Rate Sodium-Ion Storage through Synergistic N,S Dual Doping of Hard Carbon",S-NC,酯类,1.0 mol L-1 sodium perchlorate (NaClO4) in ethyl carbonate (EC) and diethyl carbonate (DEC) (1 : 1 in volume ratio) with 5 vol.% fluoroethylene carbonate (FEC) ,464.7,primary_exact,True
1400.0,0.389,1.408,3.37,1,50.0,0.826,1.5575394743064488,243.07,1.0,2.0,0.007264,1.764,1.875,161.0,Epoxy phenol novolac resin: A novel precursor to construct high performance hard carbon anode toward enhanced sodium-ion batteries,EPNHC-1400,醚类,"1 mol L-1 NaPF6 dissolved in the solvent of 1,2-Dimethoxyethane (DME)",403.9,primary_exact,True
900.0,0.3749,1.71,479.0,0,15.0,0.482,-0.0720311282088827,0.0,8.0,,,1.07,1.65,165.0,Exploring the Storage Mechanism of Alkali Ions in Non-Graphitic Hard Carbon Anodes,HC 900,酯类,"1 M NaPF6 in ethylene carbonate/diethyl carbonate (EC/DEC, 1:1 vol ratio) ",164.0,primary_exact,True
1100.0,0.3744,1.77,277.0,0,15.0,0.7090000000000001,0.8905322593606353,108.97,8.0,,,1.11,1.7,,Exploring the Storage Mechanism of Alkali Ions in Non-Graphitic Hard Carbon Anodes,HC 1100,酯类,"1 M NaPF6 in ethylene carbonate/diethyl carbonate (EC/DEC, 1:1 vol ratio) ",265.0,primary_exact,True
1300.0,0.3777,1.44,1.6,0,15.0,0.815,1.4828322881625375,141.35,8.0,,,1.14,1.78,,Exploring the Storage Mechanism of Alkali Ions in Non-Graphitic Hard Carbon Anodes,HC 1300,酯类,"1 M NaPF6 in ethylene carbonate/diethyl carbonate (EC/DEC, 1:1 vol ratio) ",273.0,primary_exact,True
1400.0,0.3715,1.599,29.4,0,15.0,0.743,1.061619959822539,175.77,8.0,,,1.23,2.02,,Exploring the Storage Mechanism of Alkali Ions in Non-Graphitic Hard Carbon Anodes,HC 1400,酯类,"1 M NaPF6 in ethylene carbonate/diethyl carbonate (EC/DEC, 1:1 vol ratio) ",286.0,primary_exact,True
1500.0,0.3715,1.99,2.85,0,15.0,0.88,1.9924301646902065,137.32,8.0,,,1.24,2.34,,Exploring the Storage Mechanism of Alkali Ions in Non-Graphitic Hard Carbon Anodes,HC 1500,酯类,"1 M NaPF6 in ethylene carbonate/diethyl carbonate (EC/DEC, 1:1 vol ratio) ",220.0,primary_exact,True
1600.0,0.3675,2.05,16.15,0,15.0,0.816,1.489478597355121,128.27,8.0,,,1.32,2.31,,Exploring the Storage Mechanism of Alkali Ions in Non-Graphitic Hard Carbon Anodes,HC 1600,酯类,"1 M NaPF6 in ethylene carbonate/diethyl carbonate (EC/DEC, 1:1 vol ratio) ",200.0,primary_exact,True
800.0,0.381,1.09,547.6,1,100.0,0.43,-0.2818511521409879,0.0,2.0,5.0,2.564,,,173.0,Fabricating multi-porous carbon anode with remarkable initial coulombic efficiency and enhanced rate capability for sodium-ion batteries,MPC,醚类,1 mol/L NaPF6 in diethylene glycol dimethyl ether (DIGLYME),149.0,primary_exact,True
700.0,0.399,2.886,1623.2,1,20.0,0.2269999999999999,-1.2253290311060194,0.0,,,,,,,,,,,,unmatched,False
1100.0,0.3814,1.68,66.996,0,20.0,0.6478,0.6093828106751233,67.89,2.0,5.0,,,1.32,180.0,Flaky N-doped hard carbon anode material for sodium-ion batteries,PFNC-1100,酯类, 1mol l-1 NaPF6 in diethyl-carbonate (DEC) : ethylene-carbonate (EC) (1:1 in volume) ,188.2,primary_exact,True
