carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,plateau_capacity_mAh_g
1200.0,0.373,0.95,42.6,1,50.0,91.9
1200.0,0.383,0.96,83.2,1,50.0,126.1
1200.0,0.384,0.99,60.7,1,50.0,100.9
1100.0,0.3772,1.34,10.9,0,25.0,89.9622
1100.0,0.3994,1.36,42.0,0,25.0,137.9646
1100.0,0.4022,1.37,57.0,0,25.0,125.5056
800.0,0.36,0.7,40.0,0,100.0,0.0
1200.0,0.377,1.56,1.85,0,20.0,171.62
1400.0,0.375,1.46,1.77,0,20.0,214.19
1600.0,0.372,1.35,1.89,0,20.0,200.0
1200.0,0.381,1.42,1.0,0,20.0,184.17
1400.0,0.38,1.35,1.0,0,20.0,230.37
1600.0,0.363,1.01,2.66,0,20.0,218.74
600.0,0.368,1.1,7.5,0,50.0,0.0
1400.0,0.363,1.2,13.38,0,100.0,162.88
1300.0,0.352,1.6,9.9,1,100.0,122.76
1300.0,0.377,1.96,3.6,1,100.0,150.86
1300.0,0.376,2.18,9.0,1,100.0,145.64
1300.0,0.382,2.19,6.4,1,100.0,145.87
1200.0,0.39,1.09,95.7,0,30.0,98.25
1300.0,0.373,1.243,3.67,0,30.0,175.41
1500.0,0.368,1.232,1.6,0,30.0,150.81
900.0,0.4052,1.866,821.88,0,50.0,0.0
1300.0,0.375,1.29,4.9,0,25.0,237.02
1300.0,0.37,1.21,7.7,0,25.0,236.9
1300.0,0.364,1.18,10.6,0,25.0,207.18
1300.0,0.358,1.13,14.4,0,25.0,211.05
1200.0,0.39,1.08,33.86,1,20.0,122.84
1400.0,0.387,1.98,5.68,0,30.0,244.49
1400.0,0.397,2.13,6.87,0,30.0,237.0
1400.0,0.399,2.25,2.32,0,30.0,260.63
1400.0,0.401,2.3,4.62,0,30.0,260.0
1400.0,0.355,1.35,4.08,0,20.0,165.38
1400.0,0.36,0.77,18.87,0,20.0,222.67
1400.0,0.358,1.03,8.86,0,20.0,210.21
700.0,0.358,1.06,347.88,0,100.0,0.0
800.0,0.352,1.01,435.13,0,100.0,0.0
1200.0,0.385,1.01,49.0,0,50.0,200.0
1200.0,0.379,0.99,70.0,0,50.0,187.7
900.0,0.397,2.99,763.82,1,20.0,0.0
1200.0,0.376,2.95,8.4,0,30.0,108.74
1200.0,0.38,3.36,21.06,0,30.0,167.96
1200.0,0.385,3.32,21.19,0,30.0,123.3
1300.0,0.354,1.155,67.858,0,20.0,163.02
1300.0,0.356,1.081,97.343,0,20.0,180.12
